country,indicator,date,value
PHL,Interest rate,2014-12-31,5.52591666666666
PHL,Interest rate,2013-12-31,5.76683333333333
PHL,Interest rate,2012-12-31,5.6795
PHL,Interest rate,2011-12-31,6.66325
PHL,Interest rate,2010-12-31,7.67266666666667
PHL,Interest rate,2009-12-31,8.56616666666667
PHL,Interest rate,2008-12-31,8.75108333333334
PHL,Interest rate,2007-12-31,8.69141666666667
PHL,Interest rate,2006-12-31,9.77866666666667
PHL,Interest rate,2005-12-31,10.1849166666667
PHL,Interest rate,2004-12-31,10.079
PHL,Interest rate,2003-12-31,9.47166666666667
PHL,Interest rate,2002-12-31,9.1385
PHL,Interest rate,2001-12-31,12.4015833333333
PHL,Interest rate,2000-12-31,10.90725
PHL,GDP growth,2025-12-31,4.40240158710621
PHL,GDP growth,2024-12-31,5.71474526128652
PHL,GDP growth,2023-12-31,5.51894967856043
PHL,GDP growth,2022-12-31,7.58098212785563
PHL,GDP growth,2021-12-31,5.71473313185116
PHL,GDP growth,2020-12-31,-9.51829474045297
PHL,GDP growth,2019-12-31,6.11852566221303
PHL,GDP growth,2018-12-31,6.34148557153473
PHL,GDP growth,2017-12-31,6.9309883258402
PHL,GDP growth,2016-12-31,7.14945675000752
PHL,GDP growth,2015-12-31,6.34830971672761
PHL,GDP growth,2014-12-31,6.34798748260867
PHL,GDP growth,2013-12-31,6.75053130142255
PHL,GDP growth,2012-12-31,6.89695171050985
PHL,GDP growth,2011-12-31,3.85823282795663
PHL,GDP growth,2010-12-31,7.33449996034538
PHL,GDP growth,2009-12-31,1.44832306275669
PHL,GDP growth,2008-12-31,4.34448730509183
PHL,GDP growth,2007-12-31,6.51929155018938
PHL,GDP growth,2006-12-31,5.31641682136939
PHL,GDP growth,2005-12-31,4.94250511877678
PHL,GDP growth,2004-12-31,6.56922851180626
PHL,GDP growth,2003-12-31,5.08691113513073
PHL,GDP growth,2002-12-31,3.71625500158383
PHL,GDP growth,2001-12-31,3.04923134463486
PHL,GDP growth,2000-12-31,4.38250500083399
KEN,Inflation,2025-12-31,4.06912878540729
KEN,Inflation,2024-12-31,4.48978854243448
KEN,Inflation,2023-12-31,7.67139634029402
KEN,Inflation,2022-12-31,7.65986268272224
KEN,Inflation,2021-12-31,6.10793603659176
KEN,Inflation,2020-12-31,5.40516207933392
KEN,Inflation,2019-12-31,5.23963795764792
KEN,Inflation,2018-12-31,4.6898064677633
KEN,Inflation,2017-12-31,8.00564967709945
KEN,Inflation,2016-12-31,6.29724953814625
KEN,Inflation,2015-12-31,6.58215429284779
KEN,Inflation,2014-12-31,6.87815499275949
KEN,Inflation,2013-12-31,5.71749357037733
KEN,Inflation,2012-12-31,9.37777003547598
KEN,Inflation,2011-12-31,14.0224913014704
KEN,Inflation,2010-12-31,3.96138889115385
KEN,Inflation,2009-12-31,9.23412592394652
KEN,Inflation,2008-12-31,26.2398166445063
KEN,Inflation,2007-12-31,9.75888023027529
KEN,Inflation,2006-12-31,14.4537342081708
KEN,Inflation,2005-12-31,10.3127783574683
KEN,Inflation,2004-12-31,11.6240355442426
KEN,Inflation,2003-12-31,9.81569062979654
KEN,Inflation,2002-12-31,1.96130821739162
KEN,Inflation,2001-12-31,5.73859814341467
KEN,Inflation,2000-12-31,9.98002515350979
KEN,Interest rate,2024-12-31,16.5931072517574
KEN,Interest rate,2023-12-31,13.588501716128
KEN,Interest rate,2022-12-31,12.3358409030593
KEN,Interest rate,2021-12-31,12.0799983467507
